Freq,Zreal,Zimag
1.59E+07,0.24981,-0.00249
1.26E+07,0.24993,-0.00305
1.00E+07,0.25008,-0.00372
7976642.565,0.25026,-0.00454
6336072.407,0.25049,-0.00554
5032921.21,0.25077,-0.00676
3997791.421,0.25111,-0.00824
3175558.602,0.25153,-0.01003
2522435.859,0.25203,-0.01221
2003642.023,0.25264,-0.01486
1591549.431,0.25337,-0.01807
1264212.65,0.25423,-0.02197
1004199.803,0.25524,-0.02671
797664.2565,0.2564,-0.03248
633607.2407,0.25772,-0.03951
503292.121,0.25919,-0.04811
399779.1421,0.26075,-0.05866
317555.8602,0.26236,-0.07167
252243.5859,0.26392,-0.08781
200364.2023,0.26534,-0.108
159154.9431,0.26652,-0.13341
126421.265,0.26745,-0.16553
100419.9803,0.26813,-0.20619
79766.42565,0.2686,-0.25767
63360.72407,0.26893,-0.32277
50329.2121,0.26914,-0.40502
39977.91421,0.26928,-0.5088
31755.58602,0.26937,-0.63966
25224.35859,0.26943,-0.80458
20036.42023,0.26946,-1.01234
15915.49431,0.26949,-1.27401
12642.1265,0.2695,-1.60353
10041.99803,0.26951,-2.01844
7976.64256,0.26951,-2.54083
6336.07241,0.26952,-3.19854
5032.92121,0.26952,-4.02658
3997.79142,0.26952,-5.06905
3175.5586,0.26952,-6.38147
2522.43586,0.26952,-8.03372
2003.64202,0.26952,-10.1138
1591.54943,0.26952,-12.73247
1264.21265,0.26952,-16.0292
1004.1998,0.26952,-20.17954
797.66426,0.26952,-25.40451
633.60724,0.26952,-31.98236
503.29212,0.26952,-40.26339
399.77914,0.26952,-50.6886
317.55586,0.26952,-63.81316
252.24359,0.26952,-80.336
200.3642,0.26952,-101.13702
159.15494,0.26952,-127.32396
126.42126,0.26952,-160.29137
100.41998,0.26952,-201.79487
79.76643,0.26952,-254.04469
63.36072,0.26952,-319.82332
50.32921,0.26952,-402.6337
39.97791,0.26952,-506.88579
31.75559,0.26952,-638.13141
25.22436,0.26952,-803.35984
20.03642,0.26952,-1011.37012
15.91549,0.26952,-1273.23955
12.64213,0.26952,-1602.91362
10.042,0.26952,-2017.94869
7.97664,0.26952,-2540.44688
6.33607,0.26952,-3198.23314
5.03292,0.26952,-4026.33697
3.99779,0.26952,-5068.85793
3.17556,0.26952,-6381.31405
2.52244,0.26952,-8033.59842
2.00364,0.26952,-10113.7012
1.59155,0.26952,-12732.39545
1.26421,0.26952,-16029.13618
1.0042,0.26952,-20179.48687
0.79766,0.26952,-25404.46882
0.63361,0.26952,-31982.33136
0.50329,0.26952,-40263.36968
0.39978,0.26952,-50688.57926
0.31756,0.26952,-63813.14052
0.25224,0.26952,-80335.9842
0.20036,0.26952,-101137.012
0.15915,0.26952,-127323.9545
0.12642,0.26952,-160291.3618
0.10042,0.26952,-201794.8687
0.07977,0.26952,-254044.6882
0.06336,0.26952,-319823.3137
0.05033,0.26952,-402633.6968
0.03998,0.26952,-506885.7926
0.03176,0.26952,-638131.4052
0.02522,0.26952,-803359.842
0.02004,0.26952,-1011370.12
0.01592,0.26952,-1273239.545
0.01264,0.26952,-1602913.618
0.01004,0.26952,-2017948.687
0.00798,0.26952,-2540446.882
0.00634,0.26952,-3198233.136
0.00503,0.26952,-4026336.968
0.004,0.26952,-5068857.926
0.00318,0.26952,-6381314.052
0.00252,0.26952,-8033598.42
0.002,0.26952,-1.01E+07
0.00159,0.26952,-1.27E+07
0.00126,0.26952,-1.60E+07
0.001,0.26952,-2.02E+07
7.98E-04,0.26952,-2.54E+07
6.34E-04,0.26952,-3.20E+07
5.03E-04,0.26952,-4.03E+07
4.00E-04,0.26952,-5.07E+07
3.18E-04,0.26952,-6.38E+07
2.52E-04,0.26952,-8.03E+07
2.00E-04,0.26952,-1.01E+08
1.59E-04,0.26952,-1.27E+08
