Freq,Zreal,Zimag
100078.1,15.3128,-0.5207517
79453.13,15.35573,-0.6998755
63140.62,15.41079,-0.8270142
50203.12,15.45709,-0.968018
39890.62,15.5632,-1.165812
31640.63,15.67316,-1.350721
25171.88,15.81785,-1.648002
20015.62,16.03823,-1.916328
15890.62,16.30812,-2.244597
12609.37,16.67717,-2.56477
10078.13,17.1062,-2.883164
8015.625,17.60871,-3.210508
6328.125,18.21548,-3.520567
5015.625,18.89312,-3.699189
3984.375,19.61644,-3.823516
3170.956,20.30836,-3.788654
2527.573,20.95466,-3.722181
1976.103,21.60124,-3.56029
1577.524,22.15678,-3.375327
1265.625,22.60419,-3.252847
998.264,23.03584,-3.063736
796.875,23.42492,-2.971114
627.7902,23.74078,-2.883347
505.5147,24.10722,-2.85015
397.9953,24.46131,-2.850126
315.5048,24.79842,-2.887852
252.4038,25.12894,-2.954797
198.6229,25.48484,-3.078141
158.3615,25.84283,-3.225685
125.558,26.23051,-3.431589
100.4464,26.62145,-3.676323
79.00281,27.08581,-3.983756
63.3446,27.53498,-4.329539
50.22321,28.04117,-4.729443
38.42213,28.73,-5.276953
31.25,29.31284,-5.772157
24.93351,30.01305,-6.424206
19.86229,30.72057,-7.058787
15.625,31.80788,-7.952034
12.40079,32.76572,-8.875786
9.93114,33.77769,-9.83733
7.944915,34.94621,-10.95798
6.317385,36.24891,-12.21707
5.008013,37.75446,-13.67471
3.945707,39.49083,-15.36418
3.158693,41.30044,-17.13311
2.504006,43.43468,-19.12221
1.998082,45.72621,-21.4062
1.584686,48.35109,-24.02141
1.266892,51.20149,-26.85204
0.999041,54.62072,-30.24227
0.7923428,58.32585,-33.9441
0.633446,62.36639,-37.93947
